IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,65634b3e-5481-4e61-b4fa-b67cb7c4ffc3,Sulfur oxides,,"low population density, long-term",Emission to air,kg,0.00001
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,051aaf7a-6c1a-4e86-999f-85d5f0830df6,"Particulates, < 2.5 um",,"low population density, long-term",Emission to air,kg,0.00024
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,a8694654-e98f-3a45-b8d2-4da938b70331,"Particulates, < 10 um (mobile)",,"low population density, long-term",Emission to air,kg,0.00005
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,c1f89bab-74fe-4995-9ed4-72bb73ca45f1,"Particulates, < 10 um",,"low population density, long-term",Emission to air,kg,0.00005
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,56ffbc8c-bf1b-3466-b5bf-f53effa642a5,"Particulates, < 10 um (stationary)",,"low population density, long-term",Emission to air,kg,0.00005
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,13825fb9-6e24-409a-bfcd-5dc4fd61ef98,Sulfur trioxide,007446-11-9,"low population density, long-term",Emission to air,kg,0.00001
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,2b50f643-216a-412b-a0e5-5946867aa2ed,Ammonia,,"low population density, long-term",Emission to air,kg,0.00002
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,9115356e-a534-4329-9ec6-d9208720241b,Nitrogen oxides,,"low population density, long-term",Emission to air,kg,0
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,b7e78e2a-dff8-49e8-b72c-c9157183860d,Nitrogen monoxide,010102-43-9,"low population density, long-term",Emission to air,kg,0
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,9fb048e8-b1c4-4b1a-b536-5467d511f75a,Nitrogen dioxide,010102-44-0,"low population density, long-term",Emission to air,kg,0
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,6ce44f77-d181-4396-8fa2-2276eeeb4c08,Sulfur dioxide,,"low population density, long-term",Emission to air,kg,0.00001
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,4d9a8790-3ddd-11dd-936e-0050c2490048,"Particulates, > 0.2 um, and < 2.5 um",,unspecified,Emission to air,kg,0.00024
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,ba5fc0b6-770b-4da1-9b3f-e3b5087f07cd,Sulfur oxides,,unspecified,Emission to air,kg,0.00001
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,08a91e70-3ddc-11dd-91be-0050c2490048,"Particulates, < 10 um",,unspecified,Emission to air,kg,0.00005
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,2071631d-7d90-4040-ac40-1829af0bd3c2,"Particulates, < 10 um (stationary)",,unspecified,Emission to air,kg,0.00005
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,21e46cb8-6233-4c99-bac3-c41d2ab99498,"Particulates, < 2.5 um",,unspecified,Emission to air,kg,0.00024
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,67b5f511-45bc-4612-8bbb-282b83eb725a,"Particulates, < 10 um (mobile)",,unspecified,Emission to air,kg,0.00005
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,3268d8df-59cc-4740-a89f-dee8355ad7c3,Sulfur trioxide,,unspecified,Emission to air,kg,0.00001
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,87883a4e-1e3e-4c9d-90c0-f1bea36f8014,Ammonia,,unspecified,Emission to air,kg,0.00002
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,c1b91234-6f24-417b-8309-46111d09c457,Nitrogen oxides,,unspecified,Emission to air,kg,0
