ee4c66f6-2bf4-38c7-9196-d8c37129e3c2;57117e3c-15aa-4b4d-b953-6d33986aa5aa;1;Calcium;emissions to soil/industrial;;Calcium II;Elementary flows/Emission to soil/industrial;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
ed365a05-87db-34aa-b3d7-39cf4a59f68b;e681e6ba-2d66-4f17-8812-e8c74bdcf7e8;1;Calcium;emissions to soil/unspecified;;Calcium II;Elementary flows/Emission to soil/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
3db8dcf3-c096-31ef-b39c-b023fd3afdb7;313b9346-b5b7-385a-b5d6-a59e11fd57cf;1;Calcium;emissions to water/groundwater;;Calcium;Elementary flows/Emission to water/ground water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
6d447d64-d778-3af5-a8b7-395f39f67a85;a2017716-a6ee-3c76-adf4-eab05dcfeb14;1;Calcium;emissions to water/groundwater, long-term;;Calcium;Elementary flows/Emission to water/ground water, long-term;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
b9a78cae-c884-3617-badf-cda89e75529d;0b618540-b445-3ae0-85b9-210d3fe3d514;1;Calcium;emissions to water/lake;;Calcium;Elementary flows/Emission to water/lake;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
8464a9e5-d6a7-34ac-b996-9c4244514797;08a91e70-3ddc-11dd-9234-0050c2490048;1;Calcium;emissions to water/ocean;;Calcium;Elementary flows/Emission to water/ocean;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
c5905084-1e2a-3448-88b2-b2ada0b45c67;9e82f459-ca38-43dd-9c30-3913ed433ed8;1;Calcium;emissions to water/river;;Calcium;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
b1e5f50c-6619-3d83-ba95-d69ad072e32c;2feed42c-5c1a-4770-a233-6d4e0cf8f02e;1;Calcium;emissions to water/unspecified;;Calcium;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
bc6b3e01-d5a3-3d63-9eaa-f3337bbcef3a;08a91e70-3ddc-11dd-97ec-0050c2490048;1;Calcium chloride;resources/in ground;;Calcium chloride;Elementary flows/Resource/in ground;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
a75fa25f-2113-3974-a815-593793bc0ff2;55bf893f-0d89-429c-be59-2f99b33ddb11;1;Calcium II;emissions to water/ocean;;Calcium II;Elementary flows/Emission to water/ocean;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
739aa50c-d1de-3287-9154-ebda5dc71e84;ac066c02-b403-407b-a1f0-b29ad0f8188f;1;Calcium II;emissions to water/river;;Calcium II;Elementary flows/Emission to water/surface water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
8a249d87-2a31-3cad-9ec3-6b88563cdea7;08151735-9d1b-4b1c-a8b1-f341ade54f2f;1;Calcium II;emissions to water/unspecified;;Calcium II;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
1060066d-d8f9-3891-a222-e55f4c51600a;fe0acd60-3ddc-11dd-9fcf-0050c2490048;1;Caprolactam;emissions to air/unspecified;;Caprolactam;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
6b11cd27-f8c5-372b-99f0-cf52d6c3728c;cd08eddd-d946-40cf-b0b5-87f6dbd7eb21;1;Carbaryl;emissions to soil/agricultural;;Carbaryl;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
7a01a5e5-5512-395f-903b-414b5ff6b4de;bc0a4d1f-3ada-4dd8-8ab4-97dc45db3295;1;Carbendazim;emissions to soil/agricultural;;Carbendazim;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
24e06485-d2eb-350d-91fa-d4d3be65f42f;21f84442-7dc8-492a-8253-867dd1caf8d6;1;Carbetamide;emissions to soil/agricultural;;Carbetamide;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
1206ca4e-e427-38e1-b9e4-8ed96d055913;3c054a6e-2f9c-4e5e-9231-c61bc85a250a;1;Carbofuran;emissions to soil/agricultural;;Carbofuran;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
acee2e3d-1dc3-352b-a804-2859535975e0;086bf8b7-9cea-48d4-9624-c07a9ba609e8;1;Carbon;emissions to air/high. pop.;;Elemental carbon;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
8c51b512-50aa-3ffc-957f-e128ce75ab43;62859da4-f3c5-417b-a575-8b00d8d658b1;1;Carbon;emissions to soil/agricultural;;Carbon;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
44bb5727-9d13-3b68-b5f9-4907a8e4d663;7f8fd1ca-0412-4b2e-90fd-a9d294d947a3;1;Carbon;emissions to soil/industrial;;Carbon;Elementary flows/Emission to soil/industrial;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
4e3fef71-325c-37b6-aa36-148cb2f480da;ea701d93-42af-4647-9798-591962caeb76;1;Carbon;emissions to soil/unspecified;;Elemental carbon;Elementary flows/Emission to soil/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
f6987d56-3516-3969-8e6c-be926a393e4b;2f00b048-45e9-402b-9450-40367d0283d0;1;Carbon;emissions to water/groundwater;;Elemental carbon;Elementary flows/Emission to water/ground water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
97697af2-b763-3072-9772-51f4ed68ce97;b978d369-ac8b-4c1e-b010-d0e0406733d9;1;Carbon black;emissions to air/unspecified;;Carbon black;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
c6f44c72-64d6-322a-af0c-57c05c5f112e;a9e65945-a4dd-42c2-89cf-81ad2eb6b0fd;1;Cesium-137;emissions to air/low. pop.;;Caesium-137;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
ced74c9a-e9e1-3b43-a825-d85fd4c3f737;0097bf60-3729-40b6-94d0-06bd6146cfc2;1;Cesium-137;emissions to water/ocean;;Caesium-137;Elementary flows/Emission to water/ocean;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
b2d7fbec-dd22-3898-895d-306a31545d56;73ed05cc-9727-4abf-9516-4b5c0fe54a16;1;Carbon dioxide, biogenic;emissions to air/high. pop.;;Carbon dioxide, non-fossil;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
3696ac6a-a728-3618-9c6b-6aded988f536;d6235194-e4e6-4548-bfa3-ac095131aef4;1;Carbon dioxide, biogenic;emissions to air/low. pop.;;Carbon dioxide, non-fossil;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
f994f3da-1b5f-3bb7-8e01-49df6e1b4c97;eba59fd6-f37e-41dc-9ca3-c7ea22d602c7;1;Carbon dioxide, biogenic;emissions to air/unspecified;;Carbon dioxide, non-fossil;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
1850b486-3ce6-3729-b871-26c9e0f07f34;f9749677-9c9f-4678-ab55-c607dfdc2cb9;1;Carbon dioxide, fossil;emissions to air/high. pop.;;Carbon dioxide, fossil;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
2e6c348e-e0da-3319-8c69-5b60c59d61c0;aa7cac3a-3625-41d4-bc54-33e2cf11ec46;1;Carbon dioxide, fossil;emissions to air/low. pop.;;Carbon dioxide, fossil;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
6e6f316c-3d37-369d-9664-006472d4eac0;16eeda8a-1ea2-408e-ab37-2648495058dd;1;Carbon dioxide, fossil;emissions to air/stratosphere + troposphere;;Carbon dioxide, fossil;Elementary flows/Emission to air/lower stratosphere + upper troposphere;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
8c30433f-aa8b-39eb-a009-02389943545c;349b29d1-3e58-4c66-98b9-9d1a076efd2e;1;Carbon dioxide, fossil;emissions to air/unspecified;;Carbon dioxide, fossil;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
96c78112-7b55-34bd-9cc5-8d15b34df335;cc6a1abb-b123-4ca6-8f16-38209df609be;1;Carbon dioxide, in air;resources/biotic;;Carbon dioxide, in air;Elementary flows/Resource/in air;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
ce693323-1469-30ac-910b-6732041370d3;cc6a1abb-b123-4ca6-8f16-38209df609be;1;Carbon dioxide, in air;resources/in air;;Carbon dioxide, in air;Elementary flows/Resource/in air;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
9e688032-2e44-3db2-a3d6-b378f66fc6e4;8ffbf5bb-f236-49ec-bb37-55b3561798ea;1;Carbon dioxide, in air;resources/unspecified;;Carbon dioxide;Elementary flows/Resource/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
40f7e70b-32b6-30db-a96e-c6629fb99ced;6d89125e-e9b7-4d7e-a1fc-ada45dbd8815;1;Carbon dioxide, land transformation;emissions to air/low. pop.;;Carbon dioxide, land transformation;Elementary flows/Emission to air/lower stratosphere + upper troposphere;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
8a204604-9566-3c17-ab0d-787e311fcfa6;6d89125e-e9b7-4d7e-a1fc-ada45dbd8815;1;Carbon dioxide, land transformation;emissions to air/unspecified;;Carbon dioxide, land transformation;Elementary flows/Emission to air/lower stratosphere + upper troposphere;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
cf7bd2f2-d6d3-3c63-a60b-0aa8118506b3;14b6726a-44bf-4ad4-b933-02470d84c22a;1;Carbon disulfide;emissions to air/high. pop.;;Carbon disulfide;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
60d31e1d-3fe8-35c9-94a3-326f3ace4858;15f9ebbb-b1b5-4bf7-88c6-d99424f5eced;1;Carbon disulfide;emissions to air/low. pop.;;Carbon disulfide;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
f134648a-0c9c-3d75-9cbd-2822eaa4210c;d94a5a1a-bc06-48fd-b6d9-7477ea65cacd;1;Carbon disulfide;emissions to air/unspecified;;Carbon disulfide;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
daec237a-25b0-31a1-be41-ee7f50c2ce1b;99654797-afd2-4340-8d36-08d3cd92dac4;1;Carbon disulfide;emissions to water/river;;Carbon disulfide;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
2514b132-8b63-39b7-bd25-067ec9d93d91;7ae371ac-8532-11e0-9d78-0800200c9a66;1;Carbon monoxide;emissions to air/unspecified;;Carbon monoxide;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
3796d87f-700b-3eca-b663-cb55406f9ff7;99ee393d-4bd1-4cc8-b0a0-d956865fb7bf;1;Calcite;resources/in ground;;Calcite;Elementary flows/Resource/in ground;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
92797937-d238-3e5a-91cb-021e5e4148d0;7ae371a9-8532-11e0-9d78-0800200c9a66;1;Carbon dioxide;emissions to air/low. pop.;;Carbon dioxide;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
c6aaa5af-4910-361c-b0f6-2a9d05cf9c8a;2cb2333c-1599-46cf-8435-3dffce627524;1;Carbon monoxide, biogenic;emissions to air/unspecified;;Carbon monoxide, non-fossil;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
fdc6b175-ba63-3b8f-8376-5e4376c621f4;6edcc2df-88a3-48e1-83d8-ffc38d31c35b;1;Carbon monoxide, fossil;emissions to air/high. pop.;;Carbon monoxide, fossil;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
15a355e8-1642-3acb-824d-7d62e6a54781;099b36ab-4c03-4587-87f4-2f81e337afb8;1;Carbon monoxide, fossil;emissions to air/low. pop.;;Carbon monoxide, fossil;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
25d35b2c-d8f6-37fc-80e4-f3209b623467;a3beb5ac-5149-47f6-a035-53fc5030f10a;1;Carbon monoxide, fossil;emissions to air/stratosphere + troposphere;;Carbon monoxide, fossil;Elementary flows/Emission to air/lower stratosphere + upper troposphere;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
ead886b1-4d09-3510-9dac-1da03535a154;ba2f3f82-c93a-47a5-822a-37ec97495275;1;Carbon monoxide, fossil;emissions to air/unspecified;;Carbon monoxide, fossil;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
d36b14c4-a395-3bf5-8ef4-1bbeb21a062b;8c2fe757-6866-4ed2-9f89-81012ad774a0;1;Carbon, organic, in soil or biomass stock;resources/in ground;;Carbon, organic, decrease in soil or biomass stock;Elementary flows/Resource/in ground;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
c76ff14d-ab97-30b1-abd8-b9c7fc47702c;19256c0f-bea8-4e61-9499-8cc2f84953f8;1;Carbon-14;emissions to air/low. pop.;;Carbon-14;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
bf3ed7cd-1c68-3885-a211-303b53326056;bfc66f26-0b11-4e6e-9e8c-2bfde24dc23c;1;Carbon-14;emissions to air/unspecified;;Carbon-14;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
faafd00f-aa24-326a-9a73-acc8a452d2db;df5f3f08-b71d-4816-b861-59604c1e6f11;1;Carbon-14;emissions to water/ocean;;Carbon-14;Elementary flows/Emission to water/ocean;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
98458c54-b0fe-399b-bcb9-c29d19da445f;90975fe0-331c-4125-8881-2a454ad79542;1;Carbon-14;emissions to water/river;;Carbon-14;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
c0b09140-ad40-3389-b530-2df25014f7f0;c18f9e43-e4ad-4b3a-8ed8-638fe8015425;1;Carbon-14;emissions to water/unspecified;;Carbon-14;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
f853db63-6c48-3784-995d-d1dec0bda7c0;d69a88ae-927d-328f-b750-857b2c44131f;1;Carbonate;emissions to water/lake;;Carbonate;Elementary flows/Emission to water/lake;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
a1fcebab-5c42-3d99-af44-d476e1177052;0d213eaa-6dec-4669-b75e-4afeb06ac31d;1;Carbonate;emissions to water/ocean;;Carbonate;Elementary flows/Emission to water/ocean;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
17f57f31-17c1-35be-8b1e-cf977c021162;b713c6cf-2a23-40f6-8e8d-ef5175d16bd0;1;Carbonate;emissions to water/river;;Carbonate;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
ed10f006-9ccf-3a09-926c-178ebb3d5f71;1e7ae105-f032-4d62-b169-788cd6b9b384;1;Carboxin;emissions to soil/agricultural;;Carboxin;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
217c6a3d-733d-3b18-b267-b3c0ca5a73dd;5bf42116-d991-4688-bf12-e3a6d9330b68;1;Carboxylic acids, unspecified;emissions to water/ocean;;Carboxylic acids, unspecified;Elementary flows/Emission to water/ocean;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
1b912aa2-f3be-3e44-962c-c09eaeebca53;e491b85d-bd74-4044-b2a9-c4d8902fca4d;1;Carboxylic acids, unspecified;emissions to water/river;;Carboxylic acids, unspecified;Elementary flows/Emission to water/river;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
fe2fd34e-549d-37f5-b1aa-89c740d1b1bc;7ae371aa-8532-11e0-9d78-0800200c9a66;1;Carbon dioxide;emissions to air/unspecified;;Carbon dioxide;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
02e4a98e-545a-3e1d-abea-9766f16571a3;2a63690a-ff84-314b-b7b8-d34b6ff130bf;1;Cerium;emissions to water/river;;Cerium;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
d6dca84f-6ff8-3d35-a50a-b6198bb216ff;550eaab3-16d8-3b28-a1a1-5aa018fd394c;1;Carbon monoxide, biogenic;emissions to air/high. pop.;;Carbon monoxide, non-fossil;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
43ddae6d-9850-3d27-87a5-7ef8f4d9105c;7d65e225-0ca3-4467-82f8-a8c09d66eac0;1;Cerium-141;emissions to air/low. pop.;;Cerium-141;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
de9e3854-72a2-3ccc-9332-a43aaa4dbb14;d43d6bbf-7fdc-48c8-b2be-5e4040f85ddd;1;Cerium-141;emissions to water/river;;Cerium-141;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
597b1f93-faff-3e2a-857d-06e6c8c37947;401e79d4-43a3-4000-ae78-39ba6cb80948;1;Cerium-144;emissions to water/river;;Cerium-144;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
d3ef1bd6-cd87-3077-b022-de2676bb9a14;e189eb4e-0f6a-4054-aaf8-47df28c87ec4;1;Cesium;emissions to water/ocean;;Caesium I;Elementary flows/Emission to water/ocean;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
f17d6f11-a797-3b67-9a30-0230ac41f194;96f0a692-ddb9-4a4c-8236-7c943929653d;1;Cesium;emissions to water/river;;Caesium I;Elementary flows/Emission to water/surface water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
c04f74be-cc38-3638-938f-36e1c74e8cc8;b58c0d57-fecb-3079-aaf3-49e239bca4cb;1;Carbon monoxide, biogenic;emissions to air/low. pop.;;Carbon monoxide, non-fossil;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
0b5b07ee-b63b-3af2-a1b5-f23e14c7a0cf;4f2051b8-22e6-4592-8803-1e984f8fa61b;1;Cesium-134;emissions to air/unspecified;;Caesium-134;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
e6264e68-2882-3c38-9bb1-2d3adaf4efd2;5e09ac47-20a5-46d5-a360-60586cf30478;1;Cesium-134;emissions to water/ocean;;Caesium-134;Elementary flows/Emission to water/ocean;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
2af64a0d-9b72-3490-b55b-ca933d01cb2a;8c66a07d-1b6f-488f-b301-afc79b46aa76;1;Cesium-134;emissions to water/river;;Caesium-134;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
a74df856-bc7d-3093-8223-e4ac11c4a847;9d9246d4-0ce3-4b47-8491-cf62e562ad38;1;Cesium-134;emissions to water/unspecified;;Caesium-134;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
405765bc-e73a-398f-94af-57fd7781c59e;d3816f54-d6be-4806-8c7b-cb4e183e73a6;1;Cesium-136;emissions to water/river;;Caesium-136;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
38bae9b4-f3fc-33bd-a2c5-ce661f1037f7;91d68678-7ed7-417a-86a7-a486c7b8a973;1;Carfentrazone-ethyl;emissions to soil/agricultural;;Carfentrazone-ethyl;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
45b675ba-6797-3ee1-8072-2dfb15267fdb;7b87ce50-ede0-40fa-a3ee-5f72553af0e7;1;Cesium-137;emissions to air/unspecified;;Caesium-137;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
7d4a91c1-a356-36e1-84af-487ca17f4806;4057f8b4-f20a-59c9-9bb7-fdeaf5ad106d;1;Cerium;resources/in ground;;Cerium;Elementary flows/Resource/in ground;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
4da4fc48-0fd7-313a-9cf2-1c3ca6dab13c;0ac31b4a-b16d-40c8-928f-cdb8053d988f;1;Cesium-137;emissions to water/river;;Caesium-137;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
754170a0-6702-363c-a64d-c5b728a5ae6b;8bbe0b4c-5c9c-4959-a878-572f680e428d;1;Cesium-137;emissions to water/unspecified;;Caesium-137;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-17da-a746-0800200c9a66;Radioactivity;;kBq;e9773595-284e-46dd-9671-5fc9ff406833;kBq
b118b214-0e2c-38e8-8daa-321b66e77acb;85cc4ef6-5fa2-3a1e-809d-3502836bf657;1;Chemically polluted water;emissions to water/river;;Chemically polluted water;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
cafb9de9-0083-366b-a55c-729e8a2761fb;b34d0551-cb9a-4d3f-95ad-2cdb380d5cd1;1;Chloramine;emissions to air/high. pop.;;Chloramine;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
61a59ce7-bc9e-3f0e-ab28-f56a58123ed6;2b84be2e-7b2a-48d1-b641-c68a5d717809;1;Chloramine;emissions to water/river;;Chloramine;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
