cada56a9-5b09-4490-84a3-70e5ec1bd735;d2c80b7f-ee81-3ebe-a803-bca37c700707;1;Propanol;Elementary flows/Emission to water/fresh water;;1-Propanol;emissions to water/river;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
f681eb3c-854a-4f78-bcfe-76dfbcf9df3c;ad2967b6-e826-371a-a8b7-a0c1bf9a68f8;1;2,4-D;Elementary flows/Emission to soil/agricultural;;2,4-D;emissions to soil/agricultural;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
a0fec60d-3f74-48bf-a2d2-58c30fc13e53;ae9a9cc0-8206-31ae-8909-9329de637eee;1;2-Aminopropanol;Elementary flows/Emission to air/high population density;;2-Aminopropanol;emissions to air/high. pop.;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
4a094654-0a37-4492-87cb-5065366d9bc4;7e10a185-3e3f-3783-8a7f-a983b6ce39f5;1;2-Aminopropanol;Elementary flows/Emission to water/fresh water;;2-Aminopropanol;emissions to water/river;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
79a87f98-0b00-4e7e-86f8-70667307f696;ef8964f1-dca0-3ab2-9f4b-c8c9d7882ce1;1;2-Methyl-2-butene;Elementary flows/Emission to air/high population density;;2-Butene, 2-methyl-;emissions to air/high. pop.;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
5011a495-2f22-3cfd-ac96-85b74c2ad089;289cf7b6-e4ac-3279-a7db-99ca6624be61;1;2-Butene, 2-methyl-;Elementary flows/Emission to air/unspecified;;2-Butene, 2-methyl-;emissions to air/unspecified;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
9e9d143b-f89b-335a-9f04-835f7354a85e;37e3a550-4675-324c-a148-2a9a4d224b6c;1;2-Butene, 2-methyl-;Elementary flows/Emission to water/unspecified;;2-Butene, 2-methyl-;emissions to water/river;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
e2d860e3-1038-4386-a5f1-25ad75d18bbd;13266e92-d593-3edc-96b8-c7c96150092d;1;Isobutanol;Elementary flows/Emission to air/high population density;;2-Methyl-1-propanol;emissions to air/high. pop.;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
88be8e1b-1bdc-46e1-9856-187a95b3d872;4fbcce62-00f6-3e29-bc90-5c765b4d36b1;1;Isobutanol;Elementary flows/Emission to air/low population density, long-term;;2-Methyl-1-propanol;emissions to air/low. pop., long-term;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
47bee45d-6d2b-48a6-a0c8-fcb8debc7f5d;19ed351e-6146-3029-8386-4cba6a140dd3;1;Isobutanol;Elementary flows/Emission to air/unspecified;;2-Methyl-1-propanol;emissions to air/unspecified;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
febf61e5-5772-4a92-a047-bfca7965395b;24efdc78-899b-34cf-a8d8-4462ded756ab;1;2-Methyl-1-propanol;Elementary flows/Emission to water/fresh water;;2-Methyl-1-propanol;emissions to water/river;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
e5492922-eaf5-4409-aa49-7f2a35cd0336;0f1253cd-bc2a-3e68-922e-b3e31a014ef7;1;MCPA;Elementary flows/Emission to soil/agricultural;;2-Methyl-4-chlorophenoxyacetic acid;emissions to soil/agricultural;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
90d374f1-b739-45b2-a734-d6bdd8c8dc9c;1afcc1ab-4a0a-3a6f-a767-6d17465696da;1;2-Nitrobenzoic acid;Elementary flows/Emission to air/high population density;;2-Nitrobenzoic acid;emissions to air/high. pop.;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
cbf58f64-9286-406f-8dcb-ef1d81eec980;5d72d15c-20c4-33b4-ae3c-8e043d8920d9;1;Isopropanol;Elementary flows/Emission to air/high population density;;2-Propanol;emissions to air/high. pop.;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
479edec6-763c-49fc-83f8-49780f08cf29;0466e885-549d-39b8-8f30-69a1e7ad9c4d;1;Isopropanol;Elementary flows/Emission to air/unspecified;;2-Propanol;emissions to air/unspecified;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
2ccc4997-63d8-4f5f-8f4c-711080d7bd9b;9062eb34-a89d-3cd1-837a-920c8d52d6cc;1;2-Propanol;Elementary flows/Emission to water/fresh water;;2-Propanol;emissions to water/river;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
c6310f81-3859-4c5c-990a-4662ba179693;c0a85796-9bd3-3261-9311-3bd6809a5c38;1;3-Methyl-1-butanol;Elementary flows/Emission to air/high population density;;3-Methyl-1-butanol;emissions to air/high. pop.;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
37195063-6e95-4031-b25b-e12c585f5513;c05108db-836a-3bf7-822f-00ba041e101e;1;3-Methyl-1-butanol;Elementary flows/Emission to water/fresh water;;3-Methyl-1-butanol;emissions to water/river;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
b593169f-9d42-35e2-a4c0-d89e2109440f;cfcc4d67-0a60-31e1-9a33-3ab7f3cedbc7;1;4,4'-Biphenol;Elementary flows/Emission to air/unspecified;;4,4'-Biphenol;emissions to air/unspecified;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
83e92e44-8bdf-46cc-bb78-e581feda657d;5c092150-44c7-3ddd-aafa-d067a27cbb41;1;4-Methyl-2-pentanol;Elementary flows/Emission to water/fresh water;;4-Methyl-2-pentanol;emissions to water/river;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
9fbec2f4-6b42-4e63-9573-14e04befe20f;03d170f9-f460-3e73-8c72-17a8104f6d23;1;4-Methyl-2-pentanone;Elementary flows/Emission to air/high population density;;4-Methyl-2-pentanone;emissions to air/high. pop.;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
dec83914-1ca6-4707-b65d-2706da3a3988;5ff1950f-1ef9-3bb2-981e-efe3c99f37c4;1;4-Methyl-2-pentanone;Elementary flows/Emission to water/fresh water;;4-Methyl-2-pentanone;emissions to water/river;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
f9d36529-abde-4ed2-a82c-d365ae2c713f;4f9a5fc7-cfef-3d8b-a2e9-99496e2fdbc7;1;4-Methyl-2-pentanone;Elementary flows/Emission to water/unspecified;;4-Methyl-2-pentanone;emissions to water/unspecified;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
3166d308-cc57-4d31-b42e-63c7eada821f;0bbd50b2-7fb1-37aa-9354-687b4eab0695;1;Abamectin;Elementary flows/Emission to soil/agricultural;;Abamectin;emissions to soil/agricultural;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
99c07b66-c039-4896-866d-06abdaa9d46a;8ddbf3d2-27eb-3569-9d10-2a2c835a1ffb;1;Acenaphthene;Elementary flows/Emission to air/high population density;;Acenaphthene;emissions to air/high. pop.;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
922a7ccf-3338-43ad-bd7e-77d51df051ab;97d6305d-6cff-3c4f-9ada-e12210e98ece;1;Acenaphthene;Elementary flows/Emission to air/low population density;;Acenaphthene;emissions to air/low. pop.;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
1f4afa32-a9a2-40da-8396-104452cb637f;52b49ee3-7e0d-3fbb-889c-5d7a96dce219;1;Acenaphthene;Elementary flows/Emission to air/unspecified;;Acenaphthene;emissions to air/unspecified;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
a6ad3fc7-c019-454f-a899-43be7913a598;319d984d-5837-354e-a321-4443e3e86611;1;Acenaphthene;Elementary flows/Emission to water/ocean;;Acenaphthene;emissions to water/ocean;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
a9d521d5-fe73-4726-830a-9d9aa0356b92;3dcd5a85-c2b4-3be2-8958-d65396d961d4;1;Acenaphthene;Elementary flows/Emission to water/fresh water;;Acenaphthene;emissions to water/river;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
e0346157-1f0e-4bf9-b234-78fead761e18;1baf9792-81dd-3db0-91b3-7e8fd86c5509;1;Acenaphthylene;Elementary flows/Emission to air/unspecified;;Acenaphthylene;emissions to air/unspecified;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
9dc481e4-e4cd-4cb1-a03e-d539f774e958;e883b392-01dc-3832-8f8d-acc5a1d7fffb;1;Acenaphthylene;Elementary flows/Emission to water/ocean;;Acenaphthylene;emissions to water/ocean;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
c6e27975-c0a0-4189-ac1d-068f47a7b629;21232031-bf1b-388e-8a82-3deeeec78498;1;Acenaphthylene;Elementary flows/Emission to water/fresh water;;Acenaphthylene;emissions to water/river;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
cdcdbfc9-3d5f-4e78-8033-8dbecbb2cfec;0887d4f8-71a2-3958-8b5a-ae2ab78de251;1;Acephate;Elementary flows/Emission to soil/agricultural;;Acephate;emissions to soil/agricultural;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f;a5c35b34-7f00-3992-b261-4001fa9a841f;1;Acetaldehyde;Elementary flows/Emission to air/high population density;;Acetaldehyde;emissions to air/high. pop.;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
fc9f9a81-c4b9-4dce-bc20-9f04e05ca2f1;c89b58f8-eb40-3065-8403-336b495dc4c6;1;Acetaldehyde;Elementary flows/Emission to air/low population density;;Acetaldehyde;emissions to air/low. pop.;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
e3e8f6a2-c45e-4685-9859-698b2eadaf5b;85fbbd95-e2e8-3f21-84d6-38b0e959dfd8;1;Acetaldehyde;Elementary flows/Emission to air/unspecified;;Acetaldehyde;emissions to air/unspecified;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
96f27de7-48e1-4f60-8359-1eafdb14a72a;12e83f41-37cc-3056-88bf-5abad86fade5;1;Acetaldehyde;Elementary flows/Emission to water/fresh water;;Acetaldehyde;emissions to water/river;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
4b51a9d0-4100-49c1-8d47-ec47eb51c58a;e289088c-c613-3deb-a1e2-6d578027e8e8;1;Acetaldehyde;Elementary flows/Emission to water/unspecified;;Acetaldehyde;emissions to water/unspecified;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
eb23cf3a-b866-458d-94b3-9aee4145fcc9;e646c4a4-240f-340b-9392-00bb5fde2cc7;1;Acetamide;Elementary flows/Emission to soil/agricultural;;Acetamide;emissions to soil/agricultural;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
b9b68c0c-053e-41de-ab72-8dfe1c3f5755;3e3214e4-b0cc-3700-8e69-7d0b57786a9f;1;Acetic acid;Elementary flows/Emission to air/high population density;;Acetic acid;emissions to air/high. pop.;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
c5cc0625-6e01-4639-b053-5d1d9d22a53c;4b15df60-106f-3c94-8316-38d9d5d4cdb3;1;Acetic acid;Elementary flows/Emission to air/low population density;;Acetic acid;emissions to air/low. pop.;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
d157416d-db9b-4f88-a7f3-a9a5f1ea88f2;d6fa4341-1d4e-30e3-9986-23520665e474;1;Acetic acid;Elementary flows/Emission to air/unspecified;;Acetic acid;emissions to air/unspecified;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
18452b50-8c57-41d2-bbdd-37996c455771;6204bdca-52e2-36ae-bb39-a762457420e0;1;Acetic acid;Elementary flows/Emission to water/ocean;;Acetic acid;emissions to water/ocean;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
ba6ccdc7-da30-45fd-8215-babbf046cd3e;d02b5673-7fca-3775-b150-7fc1b0e51218;1;Acetic acid;Elementary flows/Emission to water/fresh water;;Acetic acid;emissions to water/river;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
edf1afb4-95cd-4482-b00d-6c814e08c807;78fe5fc7-1242-3005-b187-941f4e90f749;1;Acetochlor;Elementary flows/Emission to air/unspecified;;Acetochlor;emissions to air/unspecified;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
92ee2fc1-238c-465d-9887-418af42db9c7;5a34b487-adb5-3663-bbf2-e3f721b8c188;1;Acetochlor;Elementary flows/Emission to soil/agricultural;;Acetochlor;emissions to soil/agricultural;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
9cf5cb40-6129-4fed-8fed-23026538289f;e5c33e35-2d8f-3015-8115-64bdd90c044e;1;Acetochlor;Elementary flows/Emission to water/fresh water;;Acetochlor;emissions to water/river;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
1f130425-11f9-4ec2-8d2f-d282acaacf5c;a5dbd7c9-3e37-3af7-a097-2cc1f1b2c4e1;1;Acetone;Elementary flows/Emission to air/high population density;;Acetone;emissions to air/high. pop.;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
7a2d7097-20c4-4b5f-b2ee-bcfc2ba1378f;c935225c-3578-31b2-aff3-e01fb0ce3dad;1;Acetone;Elementary flows/Emission to air/low population density;;Acetone;emissions to air/low. pop.;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
f3d5fd96-8805-4d3d-867a-5df27975b07f;16aeb322-34d9-3c9b-9ce3-c458cfae68f1;1;Acetone;Elementary flows/Emission to air/unspecified;;Acetone;emissions to air/unspecified;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
4b6f838f-fde2-4f2b-9dc9-87e39a52b94e;715a21f5-933f-3b68-b292-676f0234ae83;1;Acetone;Elementary flows/Emission to water/fresh water;;Acetone;emissions to water/river;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
d78a3d22-4bed-4ad3-8a9c-1cc4645188d0;80a4a2b9-7e57-392f-a4bb-e02b57b0b204;1;Acetone;Elementary flows/Emission to water/unspecified;;Acetone;emissions to water/unspecified;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
f7553ef8-e4f3-4b9c-98be-81fa36315648;dcee595c-26eb-377e-86ef-e504fe041406;1;Acetonitrile;Elementary flows/Emission to air/low population density;;Acetonitrile;emissions to air/low. pop.;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
ff45a199-18e0-4777-886b-e2d0422d2f82;0aaccf1d-96b9-34c7-87cf-b9d31451120e;1;Acetonitrile;Elementary flows/Emission to air/unspecified;;Acetonitrile;emissions to air/unspecified;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
5ba194c6-30c2-44fc-ae03-c992b88c9c73;a04d5c6b-9133-3a33-b596-e08fa21a357d;1;Acetonitrile;Elementary flows/Emission to water/fresh water;;Acetonitrile;emissions to water/river;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
bbf4d3e7-ac9e-4d6e-9da0-fe15ba3e5fd6;ff90b68e-d08b-3f75-8482-f4ba54aac556;1;Acetyl chloride;Elementary flows/Emission to water/fresh water;;Acetyl chloride;emissions to water/river;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
27c7cf05-a12b-3dfb-ac83-863c0716ad29;3615606e-6faf-30f2-9b4f-cbc27e9afae2;1;Acetylene, dichloro-;Elementary flows/Emission to air/high population density;;Acetylene, dichloro-;emissions to air/high. pop.;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
6277bb68-8dde-36f6-8d89-f588c0720ccc;7b939693-0679-3204-826c-d3d797de530f;1;Acetylene, dichloro-;Elementary flows/Emission to air/unspecified;;Acetylene, dichloro-;emissions to air/unspecified;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
29066274-6556-11dd-ad8b-0800200c9a66;60ca6b59-8025-33df-8779-b323301e65fe;1;Acidity, unspecified;Elementary flows/Emission to air/unspecified;;Acidity, unspecified;emissions to air/unspecified;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
25ca862e-55b9-3922-ad34-8191dbe5dd0f;ec6de773-ce87-39d3-bb78-aeab4c79a4ad;1;Acidity, unspecified;Elementary flows/Emission to soil/industrial;;Acidity, unspecified;emissions to soil/industrial;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
e1ea501a-7c9f-4cc6-a194-22543ab1b941;1050956f-4549-3e50-819b-dc64b79b1400;1;Acidity, unspecified;Elementary flows/Emission to water/fresh water;;Acidity, unspecified;emissions to water/river;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
b37294bd-947d-4f35-b9e6-3eb259c05ff5;da828163-ff32-3e4e-812a-1996da37aaf4;1;Acidity, unspecified;Elementary flows/Emission to water/unspecified;;Acidity, unspecified;emissions to water/unspecified;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
dc64ecac-a65f-4d9a-9de6-557f1135659f;a9588b8e-7d03-3932-9260-f565f9d2d95e;1;Aclonifen;Elementary flows/Emission to soil/agricultural;;Aclonifen;emissions to soil/agricultural;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
7ed6dc0d-9c2e-4046-a44b-e8a708c2081e;3fedd9ba-1d4e-39a6-b92e-ac1a1b6ecfa0;1;Acrolein;Elementary flows/Emission to air/high population density;;Acrolein;emissions to air/high. pop.;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
12840cef-c3b8-4ef2-b7d4-3a73dbd6a280;5d8565fa-8783-3273-bb4c-70df466e9268;1;Acrolein;Elementary flows/Emission to air/low population density;;Acrolein;emissions to air/low. pop.;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
d896ced7-a107-4017-b284-d95a8ef3e735;c846249f-a6f1-3522-b235-630178ac514b;1;Acrolein;Elementary flows/Emission to air/unspecified;;Acrolein;emissions to air/unspecified;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;kg
