LCIA method,NW set - ID,NW set - name,LCIA category,Nomalisation factor,Weighting factor,Weighting score unit
BEES+,31615fcd-bce0-3e1f-b2bf-945c00fe086f,USA per cap '97-Harvard Weighting,99ed6201-5759-315b-b42e-d189feb8f562,2.5575447570332482E7,11.0,
BEES+,31615fcd-bce0-3e1f-b2bf-945c00fe086f,USA per cap '97-Harvard Weighting,9dab4ab4-3696-39ad-ab1a-527600c29cb4,0.0033444816053511705,6.0,
BEES+,31615fcd-bce0-3e1f-b2bf-945c00fe086f,USA per cap '97-Harvard Weighting,9edd1ed0-2a89-3747-8456-474ac409aa1f,35087.71929824561,7.0,
BEES+,31615fcd-bce0-3e1f-b2bf-945c00fe086f,USA per cap '97-Harvard Weighting,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,3.3333333333333336E7,3.0,
BEES+,31615fcd-bce0-3e1f-b2bf-945c00fe086f,USA per cap '97-Harvard Weighting,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,38610.03861003861,9.0,
BEES+,58eba22d-ad0b-374a-b090-8bb70e754003,USA per cap '97-Stakeholder Weighting,077620f4-b37c-361f-b873-090e6b2dacbd,19193.857965451058,8.87,
BEES+,58eba22d-ad0b-374a-b090-8bb70e754003,USA per cap '97-Stakeholder Weighting,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,1.76056338028169E11,5.28,
BEES+,58eba22d-ad0b-374a-b090-8bb70e754003,USA per cap '97-Stakeholder Weighting,0c6bbea0-170f-3ff4-9780-45139d0f5883,35335.68904593639,9.67,
BEES+,58eba22d-ad0b-374a-b090-8bb70e754003,USA per cap '97-Stakeholder Weighting,3ad074dd-9970-35bd-9a64-679b151b4d63,529100.5291005292,7.78,
BEES+,58eba22d-ad0b-374a-b090-8bb70e754003,USA per cap '97-Stakeholder Weighting,4ac6c32d-e63a-378e-be67-1f0f7f474d09,340.13605442176873,2.09,
BEES+,58eba22d-ad0b-374a-b090-8bb70e754003,USA per cap '97-Stakeholder Weighting,5607c0e9-417e-3cc4-8529-2d4dfda25e82,151515.15151515152,3.49,
BEES+,58eba22d-ad0b-374a-b090-8bb70e754003,USA per cap '97-Stakeholder Weighting,849a02bc-cdab-3ab4-b9a1-e70c8b4614cb,7.8125E9,2.99,
BEES+,58eba22d-ad0b-374a-b090-8bb70e754003,USA per cap '97-Stakeholder Weighting,8888a9ff-6ab1-3696-9832-a00fbe420ba0,5235602.094240838,7.480000000000001,
BEES+,58eba22d-ad0b-374a-b090-8bb70e754003,USA per cap '97-Stakeholder Weighting,99ed6201-5759-315b-b42e-d189feb8f562,2.5575447570332482E7,29.210000000000004,
BEES+,58eba22d-ad0b-374a-b090-8bb70e754003,USA per cap '97-Stakeholder Weighting,9dab4ab4-3696-39ad-ab1a-527600c29cb4,0.0033444816053511705,6.079999999999999,
BEES+,58eba22d-ad0b-374a-b090-8bb70e754003,USA per cap '97-Stakeholder Weighting,9edd1ed0-2a89-3747-8456-474ac409aa1f,35087.71929824561,3.29,
BEES+,58eba22d-ad0b-374a-b090-8bb70e754003,USA per cap '97-Stakeholder Weighting,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,3.3333333333333336E7,7.58,
BEES+,58eba22d-ad0b-374a-b090-8bb70e754003,USA per cap '97-Stakeholder Weighting,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,38610.03861003861,6.179999999999999,
CML-IA baseline,bdb016a0-c83f-3cf7-98ce-f60b7db9427c,EU25,1d718284-11cd-338b-8fa2-dca155579f9d,1.3192612137203167E10,,
CML-IA baseline,bdb016a0-c83f-3cf7-98ce-f60b7db9427c,EU25,3a7921c8-147c-39e4-96c8-08e7e72a0d47,2.8169014084507042E10,,
CML-IA baseline,bdb016a0-c83f-3cf7-98ce-f60b7db9427c,EU25,44c2d0e0-0745-3f3e-bffb-bfaea092e3c4,8.928571428571428E7,,
CML-IA baseline,bdb016a0-c83f-3cf7-98ce-f60b7db9427c,EU25,4b4ead48-6399-327e-9739-5321ce805c7b,7.751937984496124E12,,
CML-IA baseline,bdb016a0-c83f-3cf7-98ce-f60b7db9427c,EU25,4c93a806-0b15-3a3b-bb1c-a2efb81dc86e,5.1813471502590674E11,,
CML-IA baseline,bdb016a0-c83f-3cf7-98ce-f60b7db9427c,EU25,5008587e-8d72-3402-80df-68e20d636b51,1.1668611435239206E14,,
CML-IA baseline,bdb016a0-c83f-3cf7-98ce-f60b7db9427c,EU25,6f3b47a9-7d7b-3a96-b8c3-91139ae57f56,5.025125628140703E12,,
CML-IA baseline,bdb016a0-c83f-3cf7-98ce-f60b7db9427c,EU25,73a47a0e-d1bf-302e-9ccb-5acd886512e3,4.854368932038835E10,,
CML-IA baseline,bdb016a0-c83f-3cf7-98ce-f60b7db9427c,EU25,a30f30eb-d5ff-3051-80f2-2f789db52886,3.1446540880503145E13,,
CML-IA baseline,bdb016a0-c83f-3cf7-98ce-f60b7db9427c,EU25,acb12462-2f82-3a72-8ee4-ffb7ff5a47ad,8.47457627118644E9,,
CML-IA baseline,bdb016a0-c83f-3cf7-98ce-f60b7db9427c,EU25,d098dc03-4caa-3c76-84df-bdd28659d40f,8.474576271186441E7,,
CML-IA baseline,98cd6b78-bd5d-3f9a-a4c6-60232f4d7c21,"EU25+3, 2000",1d718284-11cd-338b-8fa2-dca155579f9d,1.8518518518518517E10,,
CML-IA baseline,98cd6b78-bd5d-3f9a-a4c6-60232f4d7c21,"EU25+3, 2000",3a7921c8-147c-39e4-96c8-08e7e72a0d47,1.6835016835016836E10,,
CML-IA baseline,98cd6b78-bd5d-3f9a-a4c6-60232f4d7c21,"EU25+3, 2000",44c2d0e0-0745-3f3e-bffb-bfaea092e3c4,1.0204081632653061E7,,
CML-IA baseline,98cd6b78-bd5d-3f9a-a4c6-60232f4d7c21,"EU25+3, 2000",4b4ead48-6399-327e-9739-5321ce805c7b,5.0E11,,
CML-IA baseline,98cd6b78-bd5d-3f9a-a4c6-60232f4d7c21,"EU25+3, 2000",4c93a806-0b15-3a3b-bb1c-a2efb81dc86e,2.0876826722338202E11,,
CML-IA baseline,98cd6b78-bd5d-3f9a-a4c6-60232f4d7c21,"EU25+3, 2000",5008587e-8d72-3402-80df-68e20d636b51,4.4444444444444445E13,,
CML-IA baseline,98cd6b78-bd5d-3f9a-a4c6-60232f4d7c21,"EU25+3, 2000",6f3b47a9-7d7b-3a96-b8c3-91139ae57f56,5.208333333333334E12,,
CML-IA baseline,98cd6b78-bd5d-3f9a-a4c6-60232f4d7c21,"EU25+3, 2000",73a47a0e-d1bf-302e-9ccb-5acd886512e3,1.1614401858304297E11,,
CML-IA baseline,98cd6b78-bd5d-3f9a-a4c6-60232f4d7c21,"EU25+3, 2000",a30f30eb-d5ff-3051-80f2-2f789db52886,3.5087719298245617E13,,
CML-IA baseline,98cd6b78-bd5d-3f9a-a4c6-60232f4d7c21,"EU25+3, 2000",acb12462-2f82-3a72-8ee4-ffb7ff5a47ad,1.7301038062283738E9,,
CML-IA baseline,98cd6b78-bd5d-3f9a-a4c6-60232f4d7c21,"EU25+3, 2000",d098dc03-4caa-3c76-84df-bdd28659d40f,6024096.385542168,,
CML-IA baseline,f786aa3e-03ec-3274-80c2-b99e713ec49c,"West Europe, 1995",1d718284-11cd-338b-8fa2-dca155579f9d,1.282051282051282E10,,
CML-IA baseline,f786aa3e-03ec-3274-80c2-b99e713ec49c,"West Europe, 1995",3a7921c8-147c-39e4-96c8-08e7e72a0d47,2.7322404371584698E10,,
CML-IA baseline,f786aa3e-03ec-3274-80c2-b99e713ec49c,"West Europe, 1995",44c2d0e0-0745-3f3e-bffb-bfaea092e3c4,8.695652173913044E7,,
CML-IA baseline,f786aa3e-03ec-3274-80c2-b99e713ec49c,"West Europe, 1995",4b4ead48-6399-327e-9739-5321ce805c7b,7.575757575757576E12,,
CML-IA baseline,f786aa3e-03ec-3274-80c2-b99e713ec49c,"West Europe, 1995",4c93a806-0b15-3a3b-bb1c-a2efb81dc86e,5.0505050505050507E11,,
CML-IA baseline,f786aa3e-03ec-3274-80c2-b99e713ec49c,"West Europe, 1995",5008587e-8d72-3402-80df-68e20d636b51,1.1350737797956866E14,,
CML-IA baseline,f786aa3e-03ec-3274-80c2-b99e713ec49c,"West Europe, 1995",6f3b47a9-7d7b-3a96-b8c3-91139ae57f56,4.878048780487805E12,,
CML-IA baseline,f786aa3e-03ec-3274-80c2-b99e713ec49c,"West Europe, 1995",73a47a0e-d1bf-302e-9ccb-5acd886512e3,4.716981132075472E10,,
CML-IA baseline,f786aa3e-03ec-3274-80c2-b99e713ec49c,"West Europe, 1995",a30f30eb-d5ff-3051-80f2-2f789db52886,3.058103975535168E13,,
CML-IA baseline,f786aa3e-03ec-3274-80c2-b99e713ec49c,"West Europe, 1995",acb12462-2f82-3a72-8ee4-ffb7ff5a47ad,8.264462809917356E9,,
CML-IA baseline,f786aa3e-03ec-3274-80c2-b99e713ec49c,"West Europe, 1995",d098dc03-4caa-3c76-84df-bdd28659d40f,8.19672131147541E7,,
CML-IA baseline,6264939a-adbd-3f64-bd94-065cee73d064,World 2000,1d718284-11cd-338b-8fa2-dca155579f9d,1.5822784810126584E11,,
CML-IA baseline,6264939a-adbd-3f64-bd94-065cee73d064,World 2000,3a7921c8-147c-39e4-96c8-08e7e72a0d47,2.3866348448687354E11,,
CML-IA baseline,6264939a-adbd-3f64-bd94-065cee73d064,World 2000,44c2d0e0-0745-3f3e-bffb-bfaea092e3c4,2.2675736961451244E8,,
CML-IA baseline,6264939a-adbd-3f64-bd94-065cee73d064,World 2000,4b4ead48-6399-327e-9739-5321ce805c7b,2.5773195876288657E12,,
CML-IA baseline,6264939a-adbd-3f64-bd94-065cee73d064,World 2000,4c93a806-0b15-3a3b-bb1c-a2efb81dc86e,2.3640661938534277E12,,
CML-IA baseline,6264939a-adbd-3f64-bd94-065cee73d064,World 2000,5008587e-8d72-3402-80df-68e20d636b51,1.937984496124031E14,,
CML-IA baseline,6264939a-adbd-3f64-bd94-065cee73d064,World 2000,6f3b47a9-7d7b-3a96-b8c3-91139ae57f56,4.1841004184100414E13,,
CML-IA baseline,6264939a-adbd-3f64-bd94-065cee73d064,World 2000,73a47a0e-d1bf-302e-9ccb-5acd886512e3,1.092896174863388E12,,
CML-IA baseline,6264939a-adbd-3f64-bd94-065cee73d064,World 2000,a30f30eb-d5ff-3051-80f2-2f789db52886,3.8022813688212925E14,,
CML-IA baseline,6264939a-adbd-3f64-bd94-065cee73d064,World 2000,acb12462-2f82-3a72-8ee4-ffb7ff5a47ad,3.676470588235294E10,,
CML-IA baseline,6264939a-adbd-3f64-bd94-065cee73d064,World 2000,d098dc03-4caa-3c76-84df-bdd28659d40f,2.092050209205021E8,,
CML-IA baseline,97894346-339e-35dd-8f6b-3e0c299bd939,"World, 1990",1d718284-11cd-338b-8fa2-dca155579f9d,1.3586956521739131E11,,
CML-IA baseline,97894346-339e-35dd-8f6b-3e0c299bd939,"World, 1990",3a7921c8-147c-39e4-96c8-08e7e72a0d47,3.236245954692557E11,,
CML-IA baseline,97894346-339e-35dd-8f6b-3e0c299bd939,"World, 1990",44c2d0e0-0745-3f3e-bffb-bfaea092e3c4,1.226993865030675E9,,
CML-IA baseline,97894346-339e-35dd-8f6b-3e0c299bd939,"World, 1990",4b4ead48-6399-327e-9739-5321ce805c7b,5.988023952095808E13,,
CML-IA baseline,97894346-339e-35dd-8f6b-3e0c299bd939,"World, 1990",4c93a806-0b15-3a3b-bb1c-a2efb81dc86e,2.070393374741201E12,,
CML-IA baseline,97894346-339e-35dd-8f6b-3e0c299bd939,"World, 1990",5008587e-8d72-3402-80df-68e20d636b51,7.575757575757576E14,,
CML-IA baseline,97894346-339e-35dd-8f6b-3e0c299bd939,"World, 1990",6f3b47a9-7d7b-3a96-b8c3-91139ae57f56,4.484304932735426E13,,
CML-IA baseline,97894346-339e-35dd-8f6b-3e0c299bd939,"World, 1990",73a47a0e-d1bf-302e-9ccb-5acd886512e3,2.6385224274406332E11,,
CML-IA baseline,97894346-339e-35dd-8f6b-3e0c299bd939,"World, 1990",a30f30eb-d5ff-3051-80f2-2f789db52886,3.289473684210526E14,,
CML-IA baseline,97894346-339e-35dd-8f6b-3e0c299bd939,"World, 1990",acb12462-2f82-3a72-8ee4-ffb7ff5a47ad,1.0427528675703859E11,,
CML-IA baseline,97894346-339e-35dd-8f6b-3e0c299bd939,"World, 1990",d098dc03-4caa-3c76-84df-bdd28659d40f,3.003003003003003E8,,
CML-IA baseline,f1156981-dd9c-3ac7-915a-66f5352808af,"World, 1995",1d718284-11cd-338b-8fa2-dca155579f9d,1.3531799729364006E11,,
CML-IA baseline,f1156981-dd9c-3ac7-915a-66f5352808af,"World, 1995",3a7921c8-147c-39e4-96c8-08e7e72a0d47,3.215434083601286E11,,
