ID,Name,Description,Category,Flow type,CAS number,Chem. formula,Reference flow property
3feb6415-ae50-4bb7-b9d1-c18d99f8a87f,Trichlorofluoromethane,"EcoSpold 2 elementary exchange, ID = 3feb6415-ae50-4bb7-b9d1-c18d99f8a87f","Elementary flows/Emission to air/low population density, long-term",elementary,75-69-4,CCl3F,Mass
a916ca1b-4ece-4630-a563-ae3253efc04f,Trichlorofluoromethane,"EcoSpold 2 elementary exchange, ID = a916ca1b-4ece-4630-a563-ae3253efc04f",Elementary flows/Emission to air/low population density,elementary,75-69-4,CCl3F,Mass
33a69662-583b-45b8-8cb9-94f59fca9133,Trichlorofluoromethane,"EcoSpold 2 elementary exchange, ID = 33a69662-583b-45b8-8cb9-94f59fca9133",Elementary flows/Emission to air/high population density,elementary,75-69-4,CCl3F,Mass
6f6891c3-c705-3392-ae08-9b29dc7201d3,Trichloronate,,Elementary flows/Emission to air/low population density,elementary,000327-98-0,,Mass
70a1c0d1-66a8-3868-9e97-2ffa0096d988,Trichloronate,,Elementary flows/Emission to water/ocean,elementary,000327-98-0,,Mass
286c00e8-eae8-3d4b-8646-a715d3ec5842,Trichloronate,,Elementary flows/Emission to soil/forestry,elementary,000327-98-0,,Mass
65fe8a53-d5eb-3c15-bf11-51f3bf070bdf,Trichloronate,,Elementary flows/Emission to air/unspecified,elementary,000327-98-0,,Mass
c9a3c6d0-318d-3322-b42d-4c8430af58df,Trichloronate,,Elementary flows/Emission to water/unspecified,elementary,000327-98-0,,Mass
0e2867b1-9a8a-319c-8c5d-9887995c6934,Trichloronate,,Elementary flows/Emission to air/lower stratosphere + upper troposphere,elementary,000327-98-0,,Mass
f80e2f60-631b-3cf8-b1c9-6b5d833f51de,Trichloronate,,"Elementary flows/Emission to air/low population density, long-term",elementary,000327-98-0,,Mass
148227ea-10bd-397e-a574-eee7d2d4c686,Trichloronate,,Elementary flows/Emission to water/river,elementary,000327-98-0,,Mass
4cdf9304-1d5e-3390-a4ea-64befee829f6,Trichloronate,,Elementary flows/Emission to air/high population density,elementary,000327-98-0,,Mass
4a704634-bbb3-4947-9f72-ab39c0f11225,TRICHLORONATE,,Elementary flows/Emission to soil/unspecified,elementary,000327-98-0,,Mass
df09a9c6-3567-3989-9b6e-14cafb3cbcb7,Trichloronate,,"Elementary flows/Emission to water/ground water, long-term",elementary,000327-98-0,,Mass
797824c2-1757-3c20-8d60-e3414466dc1d,Trichloronate,,Elementary flows/Emission to air/indoor,elementary,000327-98-0,,Mass
98671b67-0736-3469-aa33-8e0f65ea8f2f,Trichloronate,,Elementary flows/Emission to soil/industrial,elementary,000327-98-0,,Mass
cae4b33d-45fe-339e-9de7-aeb2aca3cec2,Trichloronate,,Elementary flows/Emission to soil/agricultural,elementary,000327-98-0,,Mass
46886864-35e6-3753-9d24-a1837cb357dd,Trichlorophenol,,Elementary flows/Emission to air/indoor,elementary,025167-82-2,,Mass
5ea11451-fbb5-3eaf-af37-abc57d0b27db,Trichlorophenol,,Elementary flows/Emission to water/ocean,elementary,025167-82-2,,Mass
dff510bf-9e59-3b36-8e15-f836b7ce8ae0,Trichlorophenol,,"Elementary flows/Emission to air/low population density, long-term",elementary,025167-82-2,,Mass
1b37f75c-8452-46e9-b021-3c9bfddbf1fe,TRICHLOROPHENOL,,Elementary flows/Emission to soil/unspecified,elementary,025167-82-2,,Mass
1dcc0702-40d2-32b1-a014-89a3522e1c04,Trichlorophenol,,Elementary flows/Emission to air/unspecified,elementary,025167-82-2,,Mass
05ede6e0-2e57-3f0c-8541-3a9aa333d933,Trichlorophenol,,Elementary flows/Emission to air/lower stratosphere + upper troposphere,elementary,025167-82-2,,Mass
add6f666-0619-3fa4-868b-178ed2538541,Trichlorophenol,,"Elementary flows/Emission to water/ground water, long-term",elementary,025167-82-2,,Mass
fa84e14c-e156-3cb0-92b9-14b2157bdb82,Trichlorophenol,,Elementary flows/Emission to water/unspecified,elementary,025167-82-2,,Mass
94fd9983-b5d5-3944-bd2f-8da3b1d3c8ce,Trichlorophenol,,Elementary flows/Emission to water/river,elementary,025167-82-2,,Mass
61455c05-1434-3b18-a5ce-5398c9fb26d2,Trichlorophenol,,Elementary flows/Emission to soil/forestry,elementary,025167-82-2,,Mass
dc513625-326e-3f59-ac10-a0b4464f48ad,Trichlorophenol,,Elementary flows/Emission to air/high population density,elementary,025167-82-2,,Mass
0b026fe9-b85f-3456-8aaf-35ca119c3d03,Trichlorophenol,,Elementary flows/Emission to soil/agricultural,elementary,025167-82-2,,Mass
4a62562f-a4dc-3592-bfec-313f640bb32f,Trichlorophenol,,Elementary flows/Emission to air/low population density,elementary,025167-82-2,,Mass
6dd85cb9-51e6-3a2d-b22e-22778f6a9a7a,Trichlorophenol,,Elementary flows/Emission to soil/industrial,elementary,025167-82-2,,Mass
4a44767e-63a3-4ba3-8f9e-a193f5b39a61,Trichlorosilane,,"Elementary flows/Emission to air/low population density, long-term",elementary,10025-78-2,Cl3HSi,Mass
8b03ef98-860a-4870-a598-199cd9679f67,Trichlorosilane,,"Elementary flows/Emission to water/ground water, long-term",elementary,10025-78-2,Cl3HSi,Mass
e4020f30-9370-4f8d-854b-a342d4d6419c,Trichlorosilane,,Elementary flows/Emission to air/lower stratosphere + upper troposphere,elementary,010025-78-2,HSiCl3,Mass
489cdf1b-997d-4425-a56e-491c24b89e29,Trichlorosilane,"EcoSpold 2 elementary exchange, ID = 489cdf1b-997d-4425-a56e-491c24b89e29",Elementary flows/Emission to air/low population density,elementary,10025-78-2,Cl3HSi,Mass
68824a06-2815-4202-9f12-efec86f8df89,Trichlorosilane,"EcoSpold 2 elementary exchange, ID = 68824a06-2815-4202-9f12-efec86f8df89",Elementary flows/Emission to air/high population density,elementary,10025-78-2,Cl3HSi,Mass
0e6489b3-cfcf-4563-9064-67637fc455de,Trichlorosilane,"EcoSpold 2 elementary exchange, ID = 0e6489b3-cfcf-4563-9064-67637fc455de",Elementary flows/Emission to air/unspecified,elementary,10025-78-2,Cl3HSi,Mass
c40a3efb-7988-40f1-be9b-a1d8c9a4c5a0,Trichlorosilane,"EcoSpold 2 elementary exchange, ID = c40a3efb-7988-40f1-be9b-a1d8c9a4c5a0",Elementary flows/Emission to water/ground water,elementary,10025-78-2,Cl3HSi,Mass
8df6a0bc-e255-4091-b8d2-61fdda79fdd0,Trichlorosilane,"EcoSpold 2 elementary exchange, ID = 8df6a0bc-e255-4091-b8d2-61fdda79fdd0",Elementary flows/Emission to water/surface water,elementary,10025-78-2,Cl3HSi,Mass
7e8362c6-7627-4d9c-b035-38e02c3c1625,Trichlorosilane,"EcoSpold 2 elementary exchange, ID = 7e8362c6-7627-4d9c-b035-38e02c3c1625",Elementary flows/Emission to water/ocean,elementary,10025-78-2,Cl3HSi,Mass
21806f1e-a21a-43f7-82b1-00dd5c42fe3f,Trichlorosilane,"EcoSpold 2 elementary exchange, ID = 21806f1e-a21a-43f7-82b1-00dd5c42fe3f",Elementary flows/Emission to water/unspecified,elementary,10025-78-2,Cl3HSi,Mass
bbc05321-72d6-31cf-b378-db8d138e899e,Triclocarban,,Elementary flows/Emission to air/unspecified,elementary,000101-20-2,,Mass
