"b4028c28-92bf-3731-af31-5005d1acea62";"Ozone depletion + EF 3.0 Method (adapted).csv";"EF 3.0 Method (adapted)";"Ozone depletion";"kg CFC11 eq"
"a7bc896a-34da-3b02-a648-6a8da0a40d8e";"Water + Selected LCI results, additional.csv";"Selected LCI results, additional";"Water";"m3"
"c7247a34-7b90-3a4e-b5e5-a37663f889d5";"Non-cancer human health effects + EF Method (adapted).csv";"EF Method (adapted)";"Non-cancer human health effects";"CTUh"
"778070b3-7669-38de-9924-4221efd7e331";"Bulk waste + EDIP 2003.csv";"EDIP 2003";"Bulk waste";"kg"
"2fa55086-9380-368e-a5e1-3e6c2cf92249";"Human carcinogenic toxicity + ReCiPe 2016 Endpoint (E).csv";"ReCiPe 2016 Endpoint (E)";"Human carcinogenic toxicity";"DALY"
"598ce7c8-10d1-309e-b263-95ffef404b2b";"Freshwater ecotoxicity + ReCiPe 2016 Midpoint (E).csv";"ReCiPe 2016 Midpoint (E)";"Freshwater ecotoxicity";"kg 1,4-DCB"
"6e8d1e83-f29c-34c3-afe7-aaf5502d24d8";"Mineral resource scarcity + ReCiPe 2016 Midpoint (I).csv";"ReCiPe 2016 Midpoint (I)";"Mineral resource scarcity";"kg Cu eq"
"5d29ecaf-1894-327e-bfe6-53ce55d69eb9";"Water resources + Ecological Scarcity 2013.csv";"Ecological Scarcity 2013";"Water resources";"UBP"
"a7ebc3cf-c3c2-3eaa-bd39-68972780012e";"Freshwater ecotoxicity + USEtox 2 (recommended + interim).csv";"USEtox 2 (recommended + interim)";"Freshwater ecotoxicity";"PAF.m3.day"
"75025f52-0ab5-3623-8dc7-4b09fa2fab38";"Stratospheric ozone depletion + ReCiPe 2016 Endpoint (H).csv";"ReCiPe 2016 Endpoint (H)";"Stratospheric ozone depletion";"DALY"
"a4e95db3-9fb4-3b32-8f1c-2872ac621b25";"Actinides (air) + Selected LCI results, additional.csv";"Selected LCI results, additional";"Actinides (air)";"kBq"
