IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,9195c395-7eb7-4a82-a474-9dd55421c3b2,p-Xylene,000106-42-3,high population density,Emission to air,kg,1.71
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,6d869186-8c6e-43e8-88d6-6bb921c72b5c,"2-Butanone, 3-methyl-",000563-80-4,high population density,Emission to air,kg,0.615
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,ec83700b-e7c7-43c8-ba55-c7161fe04d0d,4-Hydroxy-4-methyl-2-pentanone,000123-42-2,high population density,Emission to air,kg,0.519
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,b07ad507-4ed3-4567-a934-4b8ec30e7185,Pentanal,000110-62-3,high population density,Emission to air,kg,1.29
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,cfeaab52-a340-4271-82db-02afa3b00a24,"Ethene, dichloro- (trans)",000156-60-5,high population density,Emission to air,kg,0.662
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,eb6d00b6-d26e-4e02-8cc6-2830acec1316,3-Pentanone,000096-22-0,high population density,Emission to air,kg,0.699
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,1178d684-665a-499d-80e0-0c37ba3b1f66,N-octane,000111-65-9,high population density,Emission to air,kg,0.765
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,ffa34df1-d949-48e3-b602-183eee5df605,Ethylene glycol monoethyl ether,,high population density,Emission to air,kg,0.652
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,c0fbd0c3-f969-4674-bb0b-c5286db460bf,"1-Butene, 2-methyl-",000563-46-2,high population density,Emission to air,kg,1.3
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,28384a94-ef97-47bf-bec6-99d5e4a883f2,Propyl acetate,000109-60-4,high population density,Emission to air,kg,0.476
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,7ee92cc3-f276-4931-a5ad-ca4d05706417,"Methane, dimethoxy-",000109-87-5,high population density,Emission to air,kg,0.277
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,d7fc9ecf-3a4e-4ea3-823e-fe9bbd639d44,2-Pentene (cis),000627-20-3,high population density,Emission to air,kg,1.89
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,5cd4fe10-488c-486f-96b0-3620de744570,2-Pentene (trans),000646-04-8,high population density,Emission to air,kg,1.89
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,b1a4377e-e545-403b-bac0-ebfe557e60ff,"Ethanol, 2-methoxy-",000109-86-4,high population density,Emission to air,kg,0.519
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,f63d2b5f-d04f-4858-815b-cdd429e53b93,s-Butyl acetate,000105-46-4,high population density,Emission to air,kg,0.465
